INSERT INTO Competition (year, host, winner, runnerup) VALUES (2022,50,3,4);
INSERT INTO Competition (year, host, winner, runnerup) VALUES (2018,33,4,12);
INSERT INTO Competition (year, host, winner, runnerup) VALUES (2014,1,11,3);
INSERT INTO Competition (year, host, winner, runnerup) VALUES (2010,67,7,8);
INSERT INTO Competition (year, host, winner, runnerup) VALUES (2006,11,6,4);
INSERT INTO Competition (year, host, winner, runnerup) VALUES (2002,24,1,11);
INSERT INTO Competition (year, host, winner, runnerup) VALUES (1998,4,4,1);
INSERT INTO Competition (year, host, winner, runnerup) VALUES (1994,212,1,6);
INSERT INTO Competition (year, host, winner, runnerup) VALUES (1990,6,11,3);
INSERT INTO Competition (year, host, winner, runnerup) VALUES (1986,13,3,11);
INSERT INTO Competition (year, host, winner, runnerup) VALUES (1982,7,6,11);
INSERT INTO Competition (year, host, winner, runnerup) VALUES (1978,3,3,8);
INSERT INTO Competition (year, host, winner, runnerup) VALUES (1974,11,11,8);
INSERT INTO Competition (year, host, winner, runnerup) VALUES (1970,13,1,6);
INSERT INTO Competition (year, host, winner, runnerup) VALUES (1966,5,5,11);
INSERT INTO Competition (year, host, winner, runnerup) VALUES (1962,29,1,216);
INSERT INTO Competition (year, host, winner, runnerup) VALUES (1958,25,1,25);
INSERT INTO Competition (year, host, winner, runnerup) VALUES (1954,15,11,36);
INSERT INTO Competition (year, host, winner, runnerup) VALUES (1950,1,14,1);
INSERT INTO Competition (year, host, winner, runnerup) VALUES (1938,4,6,36);
INSERT INTO Competition (year, host, winner, runnerup) VALUES (1934,6,6,216);
INSERT INTO Competition (year, host, winner, runnerup) VALUES (1930,14,14,3);
