Rk;Player;Nation;Pos;Squad;Comp;AgeMP;Starts;Min;Goals;Shots;SoT
1;Max Aarons;ENG;DF;Norwich City;Premier League;2234;32;2881;0;0.41;0.06
2;Yunis Abdelhamid;MAR;DF;Reims;Ligue 1;3434;34;2983;0.06;0.54;0.18
3;Salis Abdul Samed;GHA;MF;Clermont Foot;Ligue 1;2231;29;2462;0.04;0.66;0.18
4;Laurent Abergel;FRA;MF;Lorient;Ligue 1;2934;34;2956;0;0.91;0.21
5;Charles Abi;FRA;FW;Saint-�tienne;Ligue 1;221;1;45;0;0;0
6;Dickson Abiama;NGA;FW;Greuther F�rth;Bundesliga;2324;5;726;0;2.22;0.49
7;Matthis Abline;FRA;FW;Rennes;Ligue 1;197;1;103;0;1.82;0
8;Tammy Abraham;ENG;FW;Roma;Serie A;2437;36;3084;0.5;2.71;0.93
9;Luis Abram;PER;DF;Granada;La Liga;268;6;560;0;0.32;0
10;Francesco Acerbi;ITA;DF;Lazio;Serie A;3430;29;2536;0.14;0.57;0.25
11;Ragnar Ache;GER;MFFW;Eint Frankfurt;Bundesliga;2313;1;259;0;3.79;0.69
12;Mohamed Achi;FRA;MF;Nantes;Ligue 1;201;0;10;0;0;0
13;Marcos Acu�a;ARG;DF;Sevilla;La Liga;3031;26;2260;0.04;0.68;0.2
14;Che Adams;SCO;FW;Southampton;Premier League;2530;23;2039;0.31;2.16;1.06
15;Tyler Adams;USA;MF;RB Leipzig;Bundesliga;2324;12;1351;0;0.13;0
16;Sargis Adamyan;ARM;FWMF;Hoffenheim;Bundesliga;2913;2;331;0.27;0.81;0.54
17;Martin Adeline;FRA;MFFW;Reims;Ligue 1;188;2;352;0;1.03;0.26
18;Amine Adli;FRA;FWMF;Leverkusen;Bundesliga;2225;13;1256;0.21;2.71;1.36
19;Yacine Adli;FRA;MFFW;Bordeaux;Ligue 1;2136;25;2260;0.04;1.31;0.6
20;Michel Aebischer;SUI;MF;Bologna;Serie A;2512;4;443;0;0.41;0.41
21;Felix Afena-Gyan;GHA;FWMF;Roma;Serie A;1917;6;668;0.27;2.43;0.95
22;Martin Agirregabiria;ESP;DF;Alav�s;La Liga;2624;17;1616;0;0.28;0
23;Julen Agirrezabala;ESP;GK;Athletic Club;La Liga;214;4;360;0;0;0
24;Lucien Agoume;FRA;MF;Brest;Ligue 1;2027;21;1868;0;0.77;0.05
25;Kevin Agudelo;COL;MFFW;Spezia;Serie A;2323;12;1237;0.22;1.61;0.8
26;Nayef Aguerd;MAR;DF;Rennes;Ligue 1;2631;31;2735;0.07;0.82;0.23
27;Sergio Ag�ero;ARG;FW;Barcelona;La Liga;334;2;151;0.59;3.53;0.59
28;Ruben Aguilar;FRA;DF;Monaco;Ligue 1;2928;22;2140;0;0.42;0.08
29;�lvaro Aguirre;ESP;FW;Rayo Vallecano;La Liga;221;0;9;0;0;0
30;Naouirou Ahamada;FRA;MF;Stuttgart;Bundesliga;203;0;61;0;0;0
31;Anel Ahmedhodzic;BIH;DF;Bordeaux;Ligue 1;2315;15;1350;0;0.47;0.27
32;Jean-Eudes Aholou;CIV;MF;Strasbourg;Ligue 1;2825;11;1004;0.09;1.52;0.18
33;Joseph Aidoo;GHA;DF;Celta Vigo;La Liga;2632;30;2637;0;0.2;0.03
34;Ola Aina;NGA;DF;Torino;Serie A;2521;17;1437;0;0.63;0.25
35;Rayan A�t Nouri;FRA;DF;Wolves;Premier League;2023;20;1828;0.05;0.64;0.2
36;Kristoffer Ajer;NOR;DF;Brentford;Premier League;2424;23;1995;0.05;0.32;0.05
37;Ludovic Ajorque;REU;FW;Strasbourg;Ligue 1;2836;31;2738;0.39;1.94;0.79
38;Manuel Akanji;SUI;DF;Dortmund;Bundesliga;2626;25;2261;0.04;0.56;0.12
39;Carlos Akapo;EQG;DF;C�diz;La Liga;2925;21;1844;0;0.49;0.05
