1:Lionel Messi
2:Hugo Lloris
3:Angel Di María
4:Kylian Mbappé
5:Luka Modric
6:Hakim Ziyech
7:Josko Gvardiol
8:Mislav Orsic
9:Achraf Dari
10:Romain Saïss
11:Theo Hernández
12:Randal Kolo Muani
13:Julián Alvarez
14:Pepe
15:Harry Kane
16:Aurélien Tchouaméni
17:Olivier Giroud
18:Thiago Silva
19:Bruno Petkovic
20:Neymar
21:Virgil van Dijk
22:Wout Weghorst
23:Nahuel Molina
24:Sergio Busquets
25:Granit Xhaka
26:Gonçalo Ramos
27:Raphaël Guerreiro
28:Rafael Leao
29:Manuel Akanji
30:Maya Yoshida
31:Daizen Maeda
32:Ivan Perisic
33:Son Heung-min
34:Vinicius Júnior
35:Richarlison
36:Lucas Paquetá
37:Paik Seung-ho
38:Robert Lewandowski
39:Kalidou Koulibaly
40:Jordan Henderson
41:Bukayo Saka
42:Tyler Adams
43:Memphis
44:Daley Blind
45:Denzel Dumfries
46:Haji Wright
47:Mathew Ryan
48:Cristiano Ronaldo
49:Kim Young-gwon
50:Hwang Hee-chan
51:Ricardo Horta
52:André Ayew
53:Luis Suárez
54:Giorgian De Arrascaeta
55:Vincent Aboubakar
56:Dani Alves
57:Dusan Tadic
58:Aleksandar Mitrovic
59:Dusan Vlahovic
60:Xherdan Shaqiri
61:Breel Embolo
62:Remo Freuler
63:Milan Borjan
64:Youssef En-Nesyri
65:Kevin De Bruyne
66:Keylor Navas
67:Manuel Neuer
68:Yeltsin Tejeda
69:Serge Gnabry
70:Kai Havertz
71:Niclas Füllkrug
72:Ritsu Doan
73:Ao Tanaka
74:Alvaro Morata
75:Christian Eriksen
76:Wahbi Khazri
77:Raphaël Varane
78:Salem Al-Dawsari
79:Guillermo Ochoa
80:Henry Martín
81:Luis Chávez
82:Alexis Mac Allister
83:Enner Valencia
84:Moisés Caicedo
85:Hassan Al-Haydos
86:Cody Gakpo
87:Frenkie de Jong
88:Ehsan Hajsafi
89:Christian Pulisic
90:Gareth Bale
91:Marcus Rashford
92:Phil Foden
93:Eric Maxim Choupo-Moting
94:Jean-Charles Castelletto
95:Strahinja Pavlovic
96:Sergej Milinkovic-Savic
97:Cho Guesung
98:Mohammed Salisu
99:Kudus Mohammed
100:Diego Godín
101:Keysher Fuller
102:Eden Hazard
103:Zakaria Aboukhlal
104:Atiba Hutchinson
105:Andrej Kramaric
106:Marko Livaja
107:Lovro Majer
108:Alphonso Davies
109:Youssef Msakni
110:Mitchell Duke
111:Piotr Zielinski
112:Kasper Schmeichel
113:Andreas Christensen
114:Andrés Guardado
115:Enzo Fernández
116:Roozbeh Cheshmi
117:Ramin Rezaeian
118:Mohammed Muntari
119:Boulaye Dia
120:Famara Diedhiou
121:Bamba Dieng
122:Joao Félix
123:Osman Bukari
124:Takuma Asano
125:Dani Olmo
126:Marco Asensio
127:Ferrán Torres
128:Gavi
129:Carlos Soler
130:Salman Al-Faraj
131:Saleh Al-Shehri
132:Simon Kjær
133:Adrien Rabiot
134:Craig Goodwin
135:Jude Bellingham
136:Raheem Sterling
137:Jack Grealish
138:Mehdi Taremi
139:Davy Klaassen
140:Paul Pogba
141:Mario Mandzukic
142:Thomas Meunier
143:Kieran Trippier
144:Andreas Granqvist
145:Harry Maguire
146:Dele Alli
147:Igor Akinfeev
148:Denis Cheryshev
149:Mário Fernandes
150:Domagoj Vida
151:Antoine Griezmann
152:Miranda
153:Renato Augusto
154:Valon Behrami
155:Radamel Falcao
156:Rafael Márquez
157:Roberto Firmino
158:Makoto Hasebe
159:Jan Vertonghen
160:Marouane Fellaini
161:Nacer Chadli
162:Genki Haraguchi
163:Takashi Inui
164:Sergio Ramos
165:Mathias Jorgensen
166:Benjamin Pavard
167:Gabriel Mercado
168:Sergio Agüero
169:Edinson Cavani
170:Eiji Kawashima
171:Jan Bednarek
172:Cheikhou Kouyaté
173:Yerry Mina
174:Eric Dier
175:Thibaut Courtois
176:Adnan Januzaj
177:Román Torres
178:Aymen Mathlouthi
179:Fakhreddine Ben Youssef
180:Robin Olsen
181:Ludwig Augustinsson
182:Stephan Lichtsteiner
183:Bryan Ruiz
184:Blerim Dzemaili
185:Josip Drmic
186:Kendall Waston
187:Aleksandar Kolarov
188:Paulinho
189:Mile Jedinak
190:Paolo Guerrero
191:André Carrillo
192:Aron Gunnarsson
193:Milan Badelj
194:John Obi Mikel
195:Marcos Rojo
196:Osama Hawsawi
197:Essam El-Hadary
198:Mohamed Salah
199:Mbarek Boussoufa
200:Isco
201:Iago Aspas
202:Khalid Boutaïb
203:Ricardo Quaresma
204:John Stones
205:Jesse Lingard
206:Felipe Baloy
207:Sadio Mané
208:Keisuke Honda
209:Moussa Wagué
210:Juan Cuadrado
211:Romelu Lukaku
212:Michy Batshuayi
213:Dylan Bronn
214:Cho Hyun-woo
215:Javier Hernández
216:Marco Reus
217:Toni Kroos
218:Ola Toivonen
219:Philippe Coutinho
220:Ahmed Musa
221:Ante Rebic
222:Ivan Rakitic
223:Medhi Benatia
224:Diego Costa
225:Juan Quintero
226:Yuya Osako
227:Grzegorz Krychowiak
228:MBaye Niang
229:Ahmed Fathy
230:Artem Dzyuba
231:Ki Sung-yueng
232:Dries Mertens
233:Hirving Lozano
234:Marcelo
235:Steven Zuber
236:Alfred Finnbogason
237:Alberto Rodríguez
238:Yussuf Poulsen
239:José María Giménez
240:Masoud Shojaei
241:Nacho
242:Yuri Gazinskiy
243:Aleksandr Golovin
244:Georginio Wijnaldum
245:Oscar
246:Thomas Müller
247:Miroslav Klose
248:Sami Khedira
249:André Schürrle
250:Mats Hummels
251:David Luiz
252:Julian Green
253:Mesut Özil
254:Abdelmoumene Djabou
255:Wesley Sneijder
256:Giovani dos Santos
257:Sokratis Papastathopoulos
258:Alexis Sánchez
259:James Rodríguez
260:Asamoah Gyan
261:Islam Slimani
262:Aleksandr Kokorin
263:Edin Dzeko
264:Miralem Pjanic
265:Avdija Vrsajevic
266:Reza Ghoochannejad
267:Shinji Okazaki
268:Jackson Martínez
269:Andreas Samaris
270:Wilfried Bony
271:David Villa
272:Fernando Torres
273:Juan Mata
274:Leroy Fer
275:Joël Matip
276:Fred
277:Fernandinho
278:Koo Ja-cheol
279:Rafik Halliche
280:Yacine Brahimi
281:Jermaine Jones
282:Clint Dempsey
283:Nani
284:Silvestre Varela
285:Mario Götze
286:Blaise Matuidi
287:Mathieu Valbuena
288:Karim Benzema
289:Moussa Sissoko
290:Carlo Costly
291:Gervinho
292:Wayne Rooney
293:Tim Cahill
294:Arjen Robben
295:Robin van Persie
296:Eduardo Vargas
297:Charles Aránguiz
298:Ivica Olic
299:Aleksandr Kerzhakov
300:Lee Keun-ho
301:John Brooks
302:Admir Mehmedi
303:Haris Seferovic
304:Vedad Ibisevic
305:Pablo Armero
306:Teófilo Gutiérrez
307:Joel Campbell
308:Oscar Duarte
309:Marco Ureña
310:Daniel Sturridge
311:Claudio Marchisio
312:Mario Balotelli
313:Stefan de Vrij
314:Jorge Valdivia
315:Jean Beausejour
316:Andrés Iniesta
317:Diego Forlán
318:Marcell Jansen
319:Carles Puyol
320:Maxi Pereira
321:Giovanni van Bronckhorst
322:Arne Friedrich
323:Robinho
324:Sulley Muntari
325:Juan
326:Luís Fabiano
327:Lukas Podolski
328:Matthew Upson
329:Carlos Tevez
330:Gonzalo Higuaín
331:Lee Chung-yong
332:Kevin-Prince Boateng
333:Yaya Touré
334:Romaric
335:Salomon Kalou
336:Rodrigo Millar
337:Róbert Vittek
338:Kamil Kopúnek
339:Antonio Di Natale
340:Fabio Quagliarella
341:Jon Dahl Tomasson
342:Yasuhito Endo
343:Klaas-Jan Huntelaar
344:Jermain Defoe
345:Brett Holman
346:Marko Pantelic
347:Florent Malouda
348:Bongani Khumalo
349:Katlego Mphela
350:Kalu Uche
351:Lee Jung-soo
352:Park Chu-young
353:Martín Demichelis
354:Martín Palermo
355:Raul Meireles
356:Simao Sabrosa
357:Hugo Almeida
358:Tiago Mendes
359:Liédson
360:Enrique Vera
361:Cristian Riveros
362:Shane Smeltz
363:Elano
364:Didier Drogba
365:Samuel Etoo
366:Nicklas Bendtner
367:Dennis Rommedahl
368:Milan Jovanovic
369:Valter Birsa
370:Zlatan Ljubijankic
371:Landon Donovan
372:Michael Bradley
373:Dimitris Salpingidis
374:Vasilis Torosidis
375:Gelson Fernandes
376:Alvaro Pereira
377:Winston Reid
378:Maicon Sisenando
379:Ji Yun-nam
380:Daniele De Rossi
381:Antolín Alcaraz
382:Robert Koren
383:Cacau
384:Park Ji-sung
385:Steven Gerrard
386:Siphiwe Tshabalala
387:Bastian Schweinsteiger
388:Nuno Gomes
389:Fabio Grosso
390:Alessandro Del Piero
391:Thierry Henry
392:Roberto Ayala
393:Gianluca Zambrotta
394:Luca Toni
395:Ronaldo
396:Adriano
397:Zé Roberto
398:Franck Ribéry
399:Patrick Vieira
400:Zinédine Zidane
401:Hernán Crespo
402:Juanito
403:Philippe Senderos
404:Alexander Frei
405:Haminu Draman
406:Marco Materazzi
407:Filippo Inzaghi
408:Keiji Tamada
409:Juninho Pernambucano
410:Gilberto
411:Darijo Srna
412:Niko Kovac
413:Harry Kewell
414:Maniche
415:Francisco Fonseca
416:Sohrab Bakhtiarizadeh
417:Flávio Amado
418:Aruna Dindane
419:Nikola Zigic
420:Sasa Ilic
421:Rónald Gómez
422:Bartosz Bosacki
423:Marcus Allbäck
424:Henrik Larsson
425:Joe Cole
426:Tranquillo Barnetta
427:Andriy Rusol
428:Serhiy Rebrov
429:Andriy Shevchenko
430:Maksym Kalynychenko
431:Raúl
432:Jawhar Mnari
433:Maxi Rodríguez
434:Esteban Cambiasso
435:Ruud van Nistelrooy
436:Bakari Koné
437:Carlos Tenorio
438:Agustín Delgado
439:Iván Kaviedes
440:Peter Crouch
441:Xabi Alonso
442:Ziad Jaziri
443:Radhi Jaïdi
444:Yasser Al-Qahtani
445:Sami Al-Jaber
446:Lee Chun-soo
447:Ahn Jung-hwan
448:Mohamed Kader
449:John Aloisi
450:Shunsuke Nakamura
451:Jan Koller
452:Tomás Rosicky
453:Andrea Pirlo
454:Vincenzo Iaquinta
455:Omar Bravo
456:Sinha
457:Yahya Golmohammadi
458:Pauleta
459:Javier Saviola
460:Philipp Lahm
461:Torsten Frings
462:Paulo Wanchope
463:Lee Eul-yong
464:Song Chong-gug
465:Hakan Sükür
466:Ilhan Mansiz
467:Michael Owen
468:Rivaldo
469:Ronaldinho
470:Ümit Davala
471:Seol Ki-hyeon
472:Christian Vieri
473:Brian McBride
474:Henri Camara
475:Rio Ferdinand
476:Emile Heskey
477:Hiroaki Morishima
478:Hidetoshi Nakata
479:Johan Walem
480:Wesley Sonck
481:Marc Wilmots
482:Vladimir Beschastnykh
483:Dmitri Sychev
484:Emmanuel Olisadebe
485:Pawel Kryszalowicz
486:Marcin Zewlakow
487:Edmílson
488:Júnior
489:Hasan Sas
490:Bülent Korkmaz
491:Jared Borgetti
492:Anders Svensson
493:Benni McCarthy
494:Lucas Radebe
495:Gaizka Mendieta
496:Milenko Acimovic
497:Nelson Cuevas
498:Jorge Luis Campos
499:Khalilou Fadiga
500:Papa Bouba Diop
501:Richard Morales
502:Robbie Keane
503:Gary Breen
504:Damien Duff
505:Marco Bode
506:Clint Mathis
507:Raouf Bouzaiene
508:Rui Costa
509:Gerardo Torrado
510:Winston Parks
511:Emre Belözoglu
512:Milan Rapaic
513:Roberto Carlos
514:Julius Aghahowa
515:Fernando Morientes
516:Salif Diao
517:John OBrien
518:Beto
519:Mauricio Wright
520:Takayuki Suzuki
521:Junichi Inamoto
522:Peter Van der Heyden
523:Hwang Sun-hong
524:Yoo Sang-chul
525:Roque Santa Cruz
526:Francisco Arce
527:Teboho Mokoena
528:Sol Campbell
529:Niclas Alexandersson
530:Juan Carlos Valerón
531:Sebastjan Cimirotic
532:Matt Holland
533:Patrick MBoma
534:Darío Rodríguez
535:Michael Ballack
536:Carsten Jancker
537:Thomas Linke
538:Oliver Bierhoff
539:Bernd Schneider
540:Pape Malick Diop
541:Emmanuel Petit
542:Boudewijn Zenden
543:Robert Prosinecki
544:Davor Suker
545:Lilian Thuram
546:Patrick Kluivert
547:Dennis Bergkamp
548:Claudio López
549:Robert Jarni
550:Goran Vlaovic
551:Bebeto
552:Martin Jorgensen
553:Brian Laudrup
554:Javier Zanetti
555:Jürgen Klinsmann
556:Luis Hernández
557:Edgar Davids
558:Slobodan Komljenovic
559:Tijani Babangida
560:Peter Moller
561:Ebbe Sand
562:Thomas Helveg
563:César Sampaio
564:Marcelo Salas
565:Masashi Nakayama
566:Theodore Whitmore
567:Darren Anderton
568:David Beckham
569:Phillip Cocu
570:Ronald de Boer
571:Ricardo Peláez
572:Claudio Suárez
573:Luc Nilis
574:Luis Enrique
575:Kiko
576:Emil Kostadinov
577:Wilson Oruma
578:Celso Ayala
579:Miguel Angel Benítez
580:José Cardozo
581:Roberto Baggio
582:José Luis Sierra
583:Tore André Flo
584:Salaheddine Bassir
585:Abdeljalil Hadda
586:Viorel Moldovan
587:Dan Petrescu
588:Predrag Mijatovic
589:Dragan Stojkovic
590:Ariel Ortega
591:Gabriel Batistuta
592:Hamid Estili
593:Mehdi Mahdavikia
594:Carlos Blanco
595:Marc Overmars
596:Pierre van Hooijdonk
597:Allan Nielsen
598:David Trezeguet
599:Bixente Lizarazu
600:Ivica Vastic
601:Luigi Di Biagio
602:Craig Burley
603:Håvard Flo
604:Alan Shearer
605:Paul Scholes
606:Andreas Möller
607:Robbie Earle
608:Mario Stanic
609:Fernando Hierro
610:Mutiu Adepoju
611:Sunday Oliseh
612:Ha Seok-ju
613:Marc Rieper
614:Christophe Dugarry
615:Pierre Njanka
616:Toni Polster
617:Mustapha Hadji
618:Dan Eggen
619:Dunga
620:Franco Baresi
621:Roland Nilsson
622:Borislav Mikhailov
623:Tomas Brolin
624:Håkan Mild
625:Kennet Andersson
626:Paolo Maldini
627:Jonas Thern
628:Romário
629:Lothar Matthäus
630:Hristo Stoichkov
631:Yordan Letchkov
632:Gheorghe Hagi
633:Florin Raducioiu
634:Andoni Zubizarreta
635:Dino Baggio
636:José Luis Caminero
637:Ronald Koeman
638:Aron Winter
639:Branco
640:Peter Rufai
641:Emmanuel Amunike
642:Ignacio Ambríz
643:Andy Townsend
644:Wim Jonk
645:Tony Meola
646:Mohamed Al-Jawad
647:Fahad Al-Ghesheyan
648:Martin Dahlin
649:Oscar Ruggeri
650:Ilie Dumitrescu
651:Abel Balbo
652:Georges Grün
653:Rudi Völler
654:Philippe Albert
655:Alain Geiger
656:Tasos Mitropoulos
657:Stephen Keshi
658:Finidi George
659:Daniel Amokachi
660:Nasko Sirakov
661:Tahar El Khalej
662:Hassan Nader
663:Bryan Roy
664:Enzo Scifo
665:Majed Abdullah
666:Saeed Al-Owairan
667:Daniele Massaro
668:Marcelino Bernal
669:Rune Bratseth
670:Viktor Onopko
671:Stephen Tataw
672:Oleg Salenko
673:Dmitri Radchenko
674:Roger Milla
675:Raí
676:Choi In-young
677:Karl-Heinz Riedle
678:Hong Myung-bo
679:Carlos Fernando Borja
680:Erwin Sánchez
681:Stratos Apostolakis
682:Daniel Borimirov
683:Carlos Valderrama
684:Hernán Gaviria
685:John Harold Lozano
686:Khalil Azmi
687:Fuad Anwar
688:Mohammed Chaouch
689:Diego Maradona
690:Claudio Caniggia
691:Samson Siasia
692:Luis García Postigo
693:John Aldridge
694:Márcio Santos
695:Dmitri Kharine
696:Alain Sutter
697:Stéphane Chapuisat
698:Adrian Knup
699:Earnie Stewart
700:Adolfo Valencia
701:Dimitris Saravakos
702:Ion Andoni Goikoetxea
703:Rashidi Yekini
704:Gaston Taument
705:Mustafa El Haddaoui
706:David Embé
707:François Omam-Biyik
708:Roger Ljung
709:Eric Wynalda
710:Georges Bregy
711:Ray Houghton
712:Miguel Angel Nadal
713:Julio Salinas
714:Seo Jung-won
715:Giuseppe Bergomi
716:Peter Shilton
717:David Platt
718:Terry Butcher
719:Andreas Brehme
720:Gary Lineker
721:Salvatore Schillaci
722:Ivan Hasek
723:Eugène Ekéké
724:Zlatko Vujovic
725:Mick McCarthy
726:Emilio Butragueño
727:Jan Ceulemans
728:Paul McGrath
729:Silviu Lung
730:Enzo Francescoli
731:Aldo Serena
732:Ricardo Gomes
733:Ruud Gullit
734:Bernardo Redín
735:Róger Flores
736:Tomás Skuhravy
737:Lubos Kubík
738:Rónald González Brenes
739:Patrick Vervoort
740:Alberto Górriz
741:Choi Soon-ho
742:Daniel Fonseca
743:Niall Quinn
744:Gamal Abdel-Hameed
745:Glenn Hysén
746:Johnny Ekström
747:Hernán Medford
748:Roy Aitken
749:Pierre Littbarski
750:Freddy Rincón
751:Abdulrahman Mohamed
752:Safet Susic
753:Darko Pancev
754:Ali Thani Jumaa
755:Mike Windischmann
756:Andreas Ogris
757:Gerhard Rodax
758:Bruce Murray
759:Pedro Monzón
760:Gabi Balint
761:Anatoliy Demyanenko
