1:2022,3,Lionel Scaloni,1
2:2022,4,Didier Deschamps,2
3:2022,12,Zlatko Dalić,6
4:2022,22,Hoalid Regragui,7
5:2022,9,Fernando Santos,15
6:2022,5,Gareth Southgate,16
7:2022,1,Tite,19
8:2022,8,Louis van Gaal,22
9:2022,7,Luis Enrique,25
10:2022,15,Murat Yakin,26
11:2022,24,Hajime Moriyasu,31
12:2022,28,Paulo Bento,34
13:2022,26,Czesław Michniewicz,39
14:2022,18,Aliou Cissé,40
15:2022,212,Gregg Berhalter,44
16:2022,38,Graham Arnold,49
17:2022,61,Otto Addo,54
18:2022,14,Diego Alonso,55
19:2022,43,Rigobert Song,57
20:2022,21,Dragan Stojković,59
21:2022,41,John Herdman,65
22:2022,2,Roberto Martínez,68
23:2022,31,Luis Fernando Suárez,69
24:2022,11,Hansi Flick,70
25:2022,10,Kasper Hjulmand,78
26:2022,30,Jalel Kadri,79
27:2022,51,Hervé Renard,81
28:2022,13,Tata Martino,82
29:2022,44,Gustavo Alfaro,87
30:2022,50,Félix Sánchez,90
31:2022,20,Carlos Queiroz,93
32:2022,19,Rob Page,95
33:2018,4,Didier Deschamps,2
34:2018,12,Zlatko Dalić,6
35:2018,2,Roberto Martínez,109
36:2018,5,Gareth Southgate,16
37:2018,25,Janne Andersson,156
38:2018,33,Stanislav Cherchesov,159
39:2018,14,Óscar Tabárez,107
40:2018,1,Tite,165
41:2018,15,Vladimir Petković,168
42:2018,17,José Pekerman,169
43:2018,13,Juan Carlos Osorio,170
44:2018,24,Akira Nishino,172
45:2018,7,Fernando Hierro,178
46:2018,10,Åge Hareide,143
47:2018,3,Jorge Sampaoli,1
48:2018,9,Fernando Santos,50
49:2018,26,Adam Nawałka,39
50:2018,18,Aliou Cissé,186
51:2018,60,Hernán Darío Gómez,191
52:2018,30,Nabil Maâloul,192
53:2018,28,Shin Taeyong,34
54:2018,11,Joachim Löw,70
55:2018,31,Oscar Ramírez,199
56:2018,21,Mladen Krstajić,203
57:2018,38,Bert van Marwijk,206
58:2018,23,Ricardo Gareca,207
59:2018,62,Heimir Hallgrímsson,210
60:2018,32,Gernot Rohr,212
61:2018,51,Juan Antonio Pizzi,214
62:2018,39,Héctor Cúper,215
63:2018,22,Hervé Renard,218
64:2018,20,Carlos Queiroz,93
65:2014,11,Joachim Löw,269
66:2014,3,Alejandro Sabella,
67:2014,1,Luiz Felipe Scolari,269
68:2014,8,Louis van Gaal,
69:2014,2,Marc Wilmots,269
70:2014,31,Jorge Luis Pinto,269
71:2014,4,Didier Deschamps,269
72:2014,17,José Pekerman,269
73:2014,15,Ottmar Hitzfeld,269
74:2014,212,Jürgen Klinsmann,269
75:2014,32,Stephen Keshi,269
76:2014,37,Vahid Halilhodžić,269
77:2014,13,Miguel Herrera,269
78:2014,52,Fernando Santos,269
79:2014,29,Jorge Sampaoli,269
80:2014,14,Óscar Tabárez,269
81:2014,9,Paulo Bento,269
82:2014,61,Kwesi Appiah,
83:2014,28,Hong Myung-bo,269
84:2014,33,Fabio Capello,269
85:2014,58,Safet Sušić,269
86:2014,20,Carlos Queiroz,
87:2014,80,Luis Suárez,269
88:2014,44,Reinaldo Rueda,269
89:2014,5,Roy Hodgson,269
90:2014,6,Cesare Prandelli,269
91:2014,24,Alberto Zaccheroni,269
92:2014,48,Sabri Lamouchi,269
93:2014,38,Ange Postecoglou,269
94:2014,7,Del Bosque,
95:2014,12,Niko Kovač,269
96:2014,43,Volker Finke,269
97:2010,8,Bert van Marwijk,269
98:2010,7,Vicente del Bosque,
99:2010,14,Óscar Tabárez,269
100:2010,11,Joachim Löw,
101:2010,3,Diego Maradona,269
102:2010,47,Gerardo Martino,269
103:2010,1,Dunga,269
104:2010,61,Milovan Rajevac,269
105:2010,24,Takeshi Okada,269
106:2010,9,Carlos Queiroz,269
107:2010,55,Vladimír Weiss,269
108:2010,29,Marcelo Bielsa,269
109:2010,5,Fabio Capello,269
110:2010,13,Javier Aguirre,269
111:2010,28,Huh Jung-moo,269
112:2010,212,Bob Bradley,269
113:2010,112,Kim Jong-hun,269
114:2010,48,Sven-Göran Eriksson,
115:2010,15,Ottmar Hitzfeld,269
116:2010,80,Reinaldo Rueda,
117:2010,105,Ricki Herbert,269
118:2010,6,Marcello Lippi,269
119:2010,10,Morten Olsen,269
120:2010,43,Paul Le Guen,269
121:2010,63,Matjaž Kek,269
122:2010,37,Rabah Saâdane,269
123:2010,38,Pim Verbeek,269
124:2010,21,Radomir Antić,
125:2010,4,Raymond Domenech,269
126:2010,67,Carlos Alberto Parreira,
127:2010,32,Lars Lagerbäck,269
128:2010,52,Otto Rehhagel,269
129:2006,6,Marcello Lippi,269
130:2006,4,Raymond Domenech,
131:2006,11,Jürgen Klinsmann,269
132:2006,9,Luiz Felipe Scolari,
133:2006,5,Sven-Göran Eriksson,269
134:2006,1,Carlos Alberto Parreira,269
135:2006,3,José Pékerman,269
136:2006,27,Oleh Blokhin,269
137:2006,61,Ratomir Dujković,269
138:2006,7,Luis Aragonés,269
139:2006,38,Guus Hiddink,269
140:2006,15,Köbi Kuhn,269
141:2006,44,Luis Fernando Suárez,269
142:2006,8,Marco van Basten,269
143:2006,25,Lars Lagerbäck,269
144:2006,13,Ricardo La Volpe,269
145:2006,51,Marcos Paquetá,269
146:2006,30,Roger Lemerre,269
147:2006,127,Otto Pfister,269
148:2006,28,Dick Advocaat,269
149:2006,212,Bruce Arena,269
150:2006,213,Karel Brückner,269
151:2006,24,Zico,269
152:2006,12,Zlatko Kranjčar,269
153:2006,20,Branko Ivanković,269
154:2006,119,Oliveira Gonçalves,
155:2006,48,Henri Michel,269
156:2006,214,Ilija Petković,
157:2006,31,Alexandre Guimarães,269
158:2006,26,Paweł Janas,
159:2006,47,Aníbal Ruiz,269
160:2006,104,Leo Beenhakker,
161:2002,11,Rudi Völler,269
162:2002,1,Luiz Felipe Scolari,
163:2002,28,Guus Hiddink,269
164:2002,45,Şenol Güneş,
165:2002,7,José Antonio Camacho,269
166:2002,18,Bruno Metsu,269
167:2002,5,Sven-Göran Eriksson,269
168:2002,212,Bruce Arena,269
169:2002,24,Philippe Troussier,269
