1322,Argentina,1,Lionel Scaloni,2022
1323,France,2,Didier Deschamps,2022
1324,Croatia,5,Zlatko Dalic,2022
1325,Morocco,6,Hoalid Regragui,2022
1326,Portugal,14,Fernando Santos,2022
1327,England,15,Gareth Southgate,2022
1328,Brazil,18,Tite,2022
1329,Netherlands,21,Louis van Gaal,2022
1330,Spain,24,Luis Enrique,2022
1331,Switzerland,25,Murat Yakin,2022
1332,Japan,30,Hajime Moriyasu,2022
1333,Korea Republic,33,Paulo Bento,2022
1334,Poland,38,Czeslaw Michniewicz,2022
1335,Senegal,39,Aliou Cissé,2022
1336,USA,42,Gregg Berhalter,2022
1337,Australia,47,Graham Arnold,2022
1338,Ghana,52,Otto Addo,2022
1339,Uruguay,53,Diego Alonso,2022
1340,Cameroon,55,Rigobert Song,2022
1341,Serbia,57,Dragan Stojkovic,2022
1342,Canada,63,John Herdman,2022
1343,Belgium,65,Roberto Martínez,2022
1344,Costa Rica,66,Luis Fernando Suárez,2022
1345,Germany,67,Hansi Flick,2022
1346,Denmark,75,Kasper Hjulmand,2022
1347,Tunisia,76,Jalel Kadri,2022
1348,Saudi Arabia,78,Hervé Renard,2022
1349,Mexico,79,Tata Martino,2022
1350,Ecuador,83,Gustavo Alfaro,2022
1351,Qatar,85,Félix Sánchez,2022
1352,IR Iran,88,Carlos Queiroz,2022
1353,Wales,90,Rob Page,2022
1354,France,2,Didier Deschamps,2018
1355,Croatia,5,Zlatko Dalic,2018
1356,Belgium,102,Roberto Martínez,2018
1357,England,15,Gareth Southgate,2018
1358,Sweden,144,Janne Andersson,2018
1359,Russia,147,Stanislav Cherchesov,2018
1360,Uruguay,100,Oscar Tabárez,2018
1361,Brazil,152,Tite,2018
1362,Switzerland,154,Vladimir Petkovic,2018
1363,Colombia,155,José Pekerman,2018
1364,Mexico,156,Juan Carlos Osorio,2018
1365,Japan,158,Akira Nishino,2018
1366,Spain,164,Fernando Hierro,2018
1367,Denmark,132,Åge Hareide,2018
1368,Argentina,1,Jorge Sampaoli,2018
1369,Portugal,48,Fernando Santos,2018
1370,Poland,38,Adam Nawalka,2018
1371,Senegal,172,Aliou Cissé,2018
1372,Panama,177,Hernán Darío Gómez,2018
1373,Tunisia,178,Nabil Maâloul,2018
1374,Korea Republic,33,Shin Taeyong,2018
1375,Germany,67,Joachim Löw,2018
1376,Costa Rica,183,Oscar Ramírez,2018
1377,Serbia,187,Mladen Krstajic,2018
1378,Australia,189,Bert van Marwijk,2018
1379,Peru,190,Ricardo Gareca,2018
1380,Iceland,192,Heimir Hallgrímsson,2018
1381,Nigeria,194,Gernot Rohr,2018
1382,Saudi Arabia,196,Juan Antonio Pizzi,2018
1383,Egypt,197,Héctor Cúper,2018
1384,Morocco,199,Hervé Renard,2018
1385,IR Iran,88,Carlos Queiroz,2018
1386,Algeria,1556,Vahid Halilhodzic,2014
1387,Mexico,156,Miguel Herrera,2014
1388,Greece,1557,Fernando Santos,2014
1389,Chile,1558,Jorge Sampaoli,2014
1390,Uruguay,100,Oscar Tabárez,2014
1391,Portugal,48,Paulo Bento,2014
1392,Ghana,260,Kwesi Appiah,2014
1393,Korea Republic,278,Hong Myung-bo,2014
1394,Russia,1559,Fabio Capello,2014
1395,Bosnia and Herzegovina,1560,Safet Susic,2014
1396,IR Iran,1561,Carlos Queiroz,2014
1397,Honduras,1562,Luis Suárez,2014
1398,Ecuador,1563,Reinaldo Rueda,2014
1399,England,385,Roy Hodgson,2014
1400,Italy,1564,Cesare Prandelli,2014
1401,Japan,158,Alberto Zaccheroni,2014
1402,Côte dIvoire,364,Sabri Lamouchi,2014
1403,Australia,189,Ange Postecoglou,2014
1404,Spain,1565,Del Bosque,2014
1405,Croatia,411,Niko Kovac,2014
1406,Cameroon,365,Volker Finke,2014
1407,Netherlands,321,Bert van Marwijk,2010
1408,Spain,1565,Vicente del Bosque,2010
1409,Uruguay,1566,Oscar Tabárez,2010
1410,Germany,460,Joachim Löw,2010
1411,Argentina,1550,Diego Maradona,2010
1412,Paraguay,1568,Gerardo Martino,2010
1413,Brazil,1569,Dunga,2010
1414,Ghana,1570,Milovan Rajevac,2010
1415,Japan,1571,Takeshi Okada,2010
1416,Portugal,48,Carlos Queiroz,2010
1417,Slovakia,1572,Vladimír Weiss,2010
1418,Chile,1558,Marcelo Bielsa,2010
1419,England,385,Fabio Capello,2010
1420,Mexico,1573,Javier Aguirre,2010
1421,Korea Republic,384,Huh Jung-moo,2010
1422,USA,1574,Bob Bradley,2010
1423,Korea DPR,1575,Kim Jong-hun,2010
1424,Côte dIvoire,364,Sven-Göran Eriksson,2010
1425,Switzerland,404,Ottmar Hitzfeld,2010
1426,Honduras,1576,Reinaldo Rueda,2010
1427,New Zealand,1577,Ricki Herbert,2010
1428,Italy,1578,Marcello Lippi,2010
1429,Denmark,341,Morten Olsen,2010
1430,Cameroon,365,Paul Le Guen,2010
1431,Slovenia,382,Matjaz Kek,2010
1432,Algeria,1579,Rabah Saâdane,2010
1433,Australia,1580,Pim Verbeek,2010
1434,Serbia,1581,Radomir Antic,2010
1435,France,391,Raymond Domenech,2010
1436,South Africa,1582,Carlos Alberto Parreira,2010
1437,Nigeria,1583,Lars Lagerbäck,2010
1438,Greece,1557,Otto Rehhagel,2010
1439,Italy,1578,Marcello Lippi,2006
1440,France,400,Raymond Domenech,2006
1441,Germany,535,Jürgen Klinsmann,2006
1442,Portugal,1584,Luiz Felipe Scolari,2006
1443,England,568,Sven-Göran Eriksson,2006
1444,Brazil,1585,Carlos Alberto Parreira,2006
1445,Argentina,1586,José Pekerman,2006
1446,Ukraine,429,Oleh Blokhin,2006
1447,Ghana,1587,Ratomir Dujkovic,2006
1448,Spain,431,Luis Aragonés,2006
1449,Australia,1588,Guus Hiddink,2006
1450,Switzerland,1589,Köbi Kuhn,2006
