Country,Year,GoalsFor,GoalsAgainst,Goal Difference,Round Achieved
Argentina,2022,1.9565,1.0435,0.91304,Final
France,2022,2.1818,1.0909,1.0909,Final
Croatia,2022,1.0435,0.91304,0.13043,Third-place match
Morocco,2022,0.81818,0.68182,0.13636,Third-place match
Portugal,2022,2.4,1.2,1.2,Quarter-finals
England,2022,2.6,0.8,1.8,Quarter-finals
Brazil,2022,1.5,0.5625,0.9375,Quarter-finals
Netherlands,2022,1.875,0.75,1.125,Quarter-finals
Spain,2022,2.0769,0.69231,1.3846,Round of 16
Switzerland,2022,1.25,2.25,-1.0,Round of 16
Japan,2022,1.1538,0.92308,0.23077,Round of 16
Korea Republic,2022,1.25,2.0,-0.75,Round of 16
Poland,2022,0.75,1.25,-0.5,Round of 16
Senegal,2022,1.25,1.75,-0.5,Round of 16
United States,2022,0.75,1.0,-0.25,Round of 16
Australia,2022,1.0,1.5,-0.5,Round of 16
Ghana,2022,1.6667,2.3333,-0.66667,Group stage
Uruguay,2022,0.66667,0.66667,0.0,Group stage
Cameroon,2022,1.3333,1.3333,0.0,Group stage
Serbia,2022,1.6667,2.6667,-1.0,Group stage
Canada,2022,0.66667,2.3333,-1.6667,Group stage
Belgium,2022,0.33333,0.66667,-0.33333,Group stage
Costa Rica,2022,1.0,3.6667,-2.6667,Group stage
Germany,2022,2.0,1.6667,0.33333,Group stage
Denmark,2022,0.33333,1.0,-0.66667,Group stage
Tunisia,2022,0.33333,0.33333,0.0,Group stage
Saudi Arabia,2022,1.0,1.6667,-0.66667,Group stage
Mexico,2022,0.66667,1.0,-0.33333,Group stage
Ecuador,2022,1.3333,1.0,0.33333,Group stage
Qatar,2022,0.33333,2.3333,-2.0,Group stage
IR Iran,2022,1.3333,2.3333,-1.0,Group stage
Wales,2022,0.33333,2.0,-1.6667,Group stage
France,2018,2.0,0.85714,1.1429,Final
Croatia,2018,1.75,1.125,0.625,Final
Belgium,2018,2.2857,0.85714,1.4286,Third-place match
England,2018,1.5652,1.0435,0.52174,Third-place match
Sweden,2018,1.2,0.8,0.4,Quarter-finals
Russia,2018,1.9412,1.2353,0.70588,Quarter-finals
Uruguay,2018,1.4,0.6,0.8,Quarter-finals
Brazil,2018,1.6,0.6,1.0,Quarter-finals
Switzerland,2018,1.25,1.25,0.0,Round of 16
Colombia,2018,1.3846,0.69231,0.69231,Round of 16
Mexico,2018,0.75,1.5,-0.75,Round of 16
Japan,2018,1.5,1.75,-0.25,Round of 16
Spain,2018,1.6154,1.3846,0.23077,Round of 16
Denmark,2018,0.69231,0.46154,0.23077,Round of 16
Argentina,2018,1.5,2.25,-0.75,Round of 16
Portugal,2018,1.5,1.5,0.0,Round of 16
Poland,2018,0.66667,1.6667,-1.0,Group stage
Senegal,2018,1.3333,1.3333,0.0,Group stage
Panama,2018,0.66667,3.6667,-3.0,Group stage
Tunisia,2018,1.6667,2.6667,-1.0,Group stage
Korea Republic,2018,1.0,1.0,0.0,Group stage
Germany,2018,0.66667,1.3333,-0.66667,Group stage
Costa Rica,2018,0.66667,1.6667,-1.0,Group stage
Serbia,2018,0.66667,1.3333,-0.66667,Group stage
Australia,2018,0.66667,1.6667,-1.0,Group stage
Peru,2018,0.66667,0.66667,0.0,Group stage
Iceland,2018,0.66667,1.6667,-1.0,Group stage
Nigeria,2018,1.0,1.3333,-0.33333,Group stage
Saudi Arabia,2018,0.66667,2.3333,-1.6667,Group stage
Egypt,2018,0.66667,2.0,-1.3333,Group stage
Morocco,2018,0.66667,1.3333,-0.66667,Group stage
IR Iran,2018,0.66667,0.66667,0.0,Group stage
Germany,2014,2.3478,0.52174,1.8261,Final
Argentina,2014,1.0,0.5,0.5,Final
Brazil,2014,1.5,1.9091,-0.40909,Third-place match
Netherlands,2014,1.9565,0.52174,1.4348,Third-place match
Belgium,2014,1.125,0.5625,0.5625,Quarter-finals
Costa Rica,2014,0.88235,0.35294,0.52941,Quarter-finals
France,2014,2.0,0.6,1.4,Quarter-finals
Colombia,2014,2.4,0.8,1.6,Quarter-finals
Switzerland,2014,1.6154,1.6154,0.0,Round of 16
United States,2014,1.1538,1.3846,-0.23077,Round of 16
Nigeria,2014,0.75,1.25,-0.5,Round of 16
Algeria,2014,1.6154,1.6154,0.0,Round of 16
Mexico,2014,1.25,0.75,0.5,Round of 16
Greece,2014,0.69231,1.1538,-0.46154,Round of 16
Chile,2014,1.3846,0.92308,0.46154,Round of 16
Uruguay,2014,1.0,1.5,-0.5,Round of 16
Portugal,2014,1.3333,2.3333,-1.0,Group stage
Ghana,2014,1.3333,2.0,-0.66667,Group stage
Korea Republic,2014,1.0,2.0,-1.0,Group stage
Russia,2014,0.66667,1.0,-0.33333,Group stage
Bosnia and Herzegovina,2014,1.3333,1.3333,0.0,Group stage
IR Iran,2014,0.33333,1.3333,-1.0,Group stage
Honduras,2014,0.33333,2.6667,-2.3333,Group stage
Ecuador,2014,1.0,1.0,0.0,Group stage
England,2014,0.66667,1.3333,-0.66667,Group stage
Italy,2014,0.66667,1.0,-0.33333,Group stage
Japan,2014,0.66667,2.0,-1.3333,Group stage
Côte dIvoire,2014,1.3333,1.6667,-0.33333,Group stage
Australia,2014,1.0,3.0,-2.0,Group stage
Spain,2014,1.3333,2.3333,-1.0,Group stage
Croatia,2014,2.0,2.0,0.0,Group stage
Cameroon,2014,0.33333,3.0,-2.6667,Group stage
Netherlands,2010,1.6364,0.81818,0.81818,Final
Spain,2010,1.0909,0.27273,0.81818,Final
Uruguay,2010,1.5,1.0909,0.40909,Third-place match
Germany,2010,2.2857,0.71429,1.5714,Third-place match
Argentina,2010,2.0,1.2,0.8,Quarter-finals
Paraguay,2010,0.5625,0.375,0.1875,Quarter-finals
Brazil,2010,1.8,0.8,1.0,Quarter-finals
Ghana,2010,0.88235,0.70588,0.17647,Quarter-finals
Japan,2010,0.92308,0.46154,0.46154,Round of 16
Portugal,2010,1.75,0.25,1.5,Round of 16
Slovakia,2010,1.25,1.75,-0.5,Round of 16
Chile,2010,0.75,1.25,-0.5,Round of 16
England,2010,0.75,1.25,-0.5,Round of 16
Mexico,2010,1.0,1.25,-0.25,Round of 16
Korea Republic,2010,1.5,2.0,-0.5,Round of 16
United States,2010,1.1538,1.1538,0.0,Round of 16
Korea DPR,2010,0.33333,4.0,-3.6667,Group stage
Côte dIvoire,2010,1.3333,1.0,0.33333,Group stage
Switzerland,2010,0.33333,0.33333,0.0,Group stage
Honduras,2010,0.0,1.0,-1.0,Group stage
New Zealand,2010,0.66667,0.66667,0.0,Group stage
Italy,2010,1.3333,1.6667,-0.33333,Group stage
Denmark,2010,1.0,2.0,-1.0,Group stage
Cameroon,2010,0.66667,1.6667,-1.0,Group stage
Slovenia,2010,1.0,1.0,0.0,Group stage
Algeria,2010,0.0,0.66667,-0.66667,Group stage
Australia,2010,1.0,2.0,-1.0,Group stage
Serbia,2010,0.66667,1.0,-0.33333,Group stage
France,2010,0.33333,1.3333,-1.0,Group stage
South Africa,2010,1.0,1.6667,-0.66667,Group stage
Nigeria,2010,1.0,1.6667,-0.66667,Group stage
Greece,2010,0.66667,1.6667,-1.0,Group stage
Italy,2006,1.5652,0.26087,1.3043,Final
France,2006,1.2273,0.40909,0.81818,Final
Germany,2006,1.8261,0.78261,1.0435,Third-place match
Portugal,2006,0.95455,0.68182,0.27273,Third-place match
England,2006,1.125,0.375,0.75,Quarter-finals
Brazil,2006,2.0,0.4,1.6,Quarter-finals
Argentina,2006,1.9412,0.52941,1.4118,Quarter-finals
Ukraine,2006,0.9375,1.3125,-0.375,Quarter-finals
Ghana,2006,1.0,1.5,-0.5,Round of 16
Spain,2006,2.25,1.0,1.25,Round of 16
Australia,2006,1.25,1.5,-0.25,Round of 16
Switzerland,2006,0.92308,0.0,0.92308,Round of 16
Ecuador,2006,1.25,1.0,0.25,Round of 16
Netherlands,2006,0.75,0.5,0.25,Round of 16
Sweden,2006,0.75,1.0,-0.25,Round of 16
Mexico,2006,1.1538,1.1538,0.0,Round of 16
Saudi Arabia,2006,0.66667,2.3333,-1.6667,Group stage
Tunisia,2006,1.0,2.0,-1.0,Group stage
Togo,2006,0.33333,2.0,-1.6667,Group stage
Korea Republic,2006,1.0,1.3333,-0.33333,Group stage
United States,2006,0.66667,2.0,-1.3333,Group stage
Czech Republic,2006,1.0,1.3333,-0.33333,Group stage
Japan,2006,0.66667,2.3333,-1.6667,Group stage
