Country,Year,GoalsFor,GoalsAgainst,Goal Difference,Round Achieved
Argentina,2022,2.0,1.0,0.875,Final
France,2022,2.125,1.125,1.125,Final
Croatia,2022,1.0,0.875,0.125,Third-place match
Morocco,2022,0.875,0.625,0.125,Third-place match
Portugal,2022,2.375,1.25,1.25,Quarter-finals
England,2022,2.625,0.75,1.75,Quarter-finals
Brazil,2022,1.5,0.5,1.0,Quarter-finals
Netherlands,2022,1.875,0.75,1.125,Quarter-finals
Spain,2022,2.125,0.75,1.375,Round of 16
Switzerland,2022,1.25,2.25,-1.0,Round of 16
Japan,2022,1.125,0.875,0.25,Round of 16
Korea Republic,2022,1.25,2.0,-0.75,Round of 16
Poland,2022,0.75,1.25,-0.5,Round of 16
Senegal,2022,1.25,1.75,-0.5,Round of 16
United States,2022,0.75,1.0,-0.25,Round of 16
Australia,2022,1.0,1.5,-0.5,Round of 16
Ghana,2022,1.625,2.375,-0.625,Group stage
Uruguay,2022,0.625,0.625,0.0,Group stage
Cameroon,2022,1.375,1.375,0.0,Group stage
Serbia,2022,1.625,2.625,-1.0,Group stage
Canada,2022,0.625,2.375,-1.625,Group stage
Belgium,2022,0.375,0.625,-0.375,Group stage
Costa Rica,2022,1.0,3.625,-2.625,Group stage
Germany,2022,2.0,1.625,0.375,Group stage
Denmark,2022,0.375,1.0,-0.625,Group stage
Tunisia,2022,0.375,0.375,0.0,Group stage
Saudi Arabia,2022,1.0,1.625,-0.625,Group stage
Mexico,2022,0.625,1.0,-0.375,Group stage
Ecuador,2022,1.375,1.0,0.375,Group stage
Qatar,2022,0.375,2.375,-2.0,Group stage
IR Iran,2022,1.375,2.375,-1.0,Group stage
Wales,2022,0.375,2.0,-1.625,Group stage
France,2018,2.0,0.875,1.125,Final
Croatia,2018,1.75,1.125,0.625,Final
Belgium,2018,2.25,0.875,1.375,Third-place match
England,2018,1.625,1.0,0.5,Third-place match
Sweden,2018,1.25,0.75,0.375,Quarter-finals
Russia,2018,2.0,1.25,0.75,Quarter-finals
Uruguay,2018,1.375,0.625,0.75,Quarter-finals
Brazil,2018,1.625,0.625,1.0,Quarter-finals
Switzerland,2018,1.25,1.25,0.0,Round of 16
Colombia,2018,1.375,0.75,0.75,Round of 16
Mexico,2018,0.75,1.5,-0.75,Round of 16
Japan,2018,1.5,1.75,-0.25,Round of 16
Spain,2018,1.625,1.375,0.25,Round of 16
Denmark,2018,0.75,0.5,0.25,Round of 16
Argentina,2018,1.5,2.25,-0.75,Round of 16
Portugal,2018,1.5,1.5,0.0,Round of 16
Poland,2018,0.625,1.625,-1.0,Group stage
Senegal,2018,1.375,1.375,0.0,Group stage
Panama,2018,0.625,3.625,-3.0,Group stage
Tunisia,2018,1.625,2.625,-1.0,Group stage
Korea Republic,2018,1.0,1.0,0.0,Group stage
Germany,2018,0.625,1.375,-0.625,Group stage
Costa Rica,2018,0.625,1.625,-1.0,Group stage
Serbia,2018,0.625,1.375,-0.625,Group stage
Australia,2018,0.625,1.625,-1.0,Group stage
Peru,2018,0.625,0.625,0.0,Group stage
Iceland,2018,0.625,1.625,-1.0,Group stage
Nigeria,2018,1.0,1.375,-0.375,Group stage
Saudi Arabia,2018,0.625,2.375,-1.625,Group stage
Egypt,2018,0.625,2.0,-1.375,Group stage
Morocco,2018,0.625,1.375,-0.625,Group stage
IR Iran,2018,0.625,0.625,0.0,Group stage
Germany,2014,2.375,0.5,1.875,Final
Argentina,2014,1.0,0.5,0.5,Final
Brazil,2014,1.5,1.875,-0.375,Third-place match
Netherlands,2014,2.0,0.5,1.375,Third-place match
Belgium,2014,1.125,0.5,0.5,Quarter-finals
Costa Rica,2014,0.875,0.375,0.5,Quarter-finals
France,2014,2.0,0.625,1.375,Quarter-finals
Colombia,2014,2.375,0.75,1.625,Quarter-finals
Switzerland,2014,1.625,1.625,0.0,Round of 16
United States,2014,1.125,1.375,-0.25,Round of 16
Nigeria,2014,0.75,1.25,-0.5,Round of 16
Algeria,2014,1.625,1.625,0.0,Round of 16
Mexico,2014,1.25,0.75,0.5,Round of 16
Greece,2014,0.75,1.125,-0.5,Round of 16
Chile,2014,1.375,0.875,0.5,Round of 16
Uruguay,2014,1.0,1.5,-0.5,Round of 16
Portugal,2014,1.375,2.375,-1.0,Group stage
Ghana,2014,1.375,2.0,-0.625,Group stage
Korea Republic,2014,1.0,2.0,-1.0,Group stage
Russia,2014,0.625,1.0,-0.375,Group stage
Bosnia and Herzegovina,2014,1.375,1.375,0.0,Group stage
IR Iran,2014,0.375,1.375,-1.0,Group stage
Honduras,2014,0.375,2.625,-2.375,Group stage
Ecuador,2014,1.0,1.0,0.0,Group stage
England,2014,0.625,1.375,-0.625,Group stage
Italy,2014,0.625,1.0,-0.375,Group stage
Japan,2014,0.625,2.0,-1.375,Group stage
Côte dIvoire,2014,1.375,1.625,-0.375,Group stage
Australia,2014,1.0,3.0,-2.0,Group stage
Spain,2014,1.375,2.375,-1.0,Group stage
Croatia,2014,2.0,2.0,0.0,Group stage
Cameroon,2014,0.375,3.0,-2.625,Group stage
Netherlands,2010,1.625,0.875,0.875,Final
Spain,2010,1.125,0.25,0.875,Final
Uruguay,2010,1.5,1.125,0.375,Third-place match
Germany,2010,2.25,0.75,1.625,Third-place match
Argentina,2010,2.0,1.25,0.75,Quarter-finals
Paraguay,2010,0.5,0.375,0.25,Quarter-finals
Brazil,2010,1.75,0.75,1.0,Quarter-finals
Ghana,2010,0.875,0.75,0.125,Quarter-finals
Japan,2010,0.875,0.5,0.5,Round of 16
Portugal,2010,1.75,0.25,1.5,Round of 16
Slovakia,2010,1.25,1.75,-0.5,Round of 16
Chile,2010,0.75,1.25,-0.5,Round of 16
England,2010,0.75,1.25,-0.5,Round of 16
Mexico,2010,1.0,1.25,-0.25,Round of 16
Korea Republic,2010,1.5,2.0,-0.5,Round of 16
United States,2010,1.125,1.125,0.0,Round of 16
Korea DPR,2010,0.375,4.0,-3.625,Group stage
Côte dIvoire,2010,1.375,1.0,0.375,Group stage
Switzerland,2010,0.375,0.375,0.0,Group stage
Honduras,2010,0.0,1.0,-1.0,Group stage
New Zealand,2010,0.625,0.625,0.0,Group stage
Italy,2010,1.375,1.625,-0.375,Group stage
Denmark,2010,1.0,2.0,-1.0,Group stage
Cameroon,2010,0.625,1.625,-1.0,Group stage
Slovenia,2010,1.0,1.0,0.0,Group stage
Algeria,2010,0.0,0.625,-0.625,Group stage
Australia,2010,1.0,2.0,-1.0,Group stage
Serbia,2010,0.625,1.0,-0.375,Group stage
France,2010,0.375,1.375,-1.0,Group stage
South Africa,2010,1.0,1.625,-0.625,Group stage
Nigeria,2010,1.0,1.625,-0.625,Group stage
Greece,2010,0.625,1.625,-1.0,Group stage
Italy,2006,1.625,0.25,1.25,Final
France,2006,1.25,0.375,0.875,Final
Germany,2006,1.875,0.75,1.0,Third-place match
Portugal,2006,1.0,0.625,0.25,Third-place match
England,2006,1.125,0.375,0.75,Quarter-finals
Brazil,2006,2.0,0.375,1.625,Quarter-finals
Argentina,2006,2.0,0.5,1.375,Quarter-finals
Ukraine,2006,1.0,1.25,-0.375,Quarter-finals
Ghana,2006,1.0,1.5,-0.5,Round of 16
Spain,2006,2.25,1.0,1.25,Round of 16
Australia,2006,1.25,1.5,-0.25,Round of 16
Switzerland,2006,0.875,0.0,0.875,Round of 16
Ecuador,2006,1.25,1.0,0.25,Round of 16
Netherlands,2006,0.75,0.5,0.25,Round of 16
Sweden,2006,0.75,1.0,-0.25,Round of 16
Mexico,2006,1.125,1.125,0.0,Round of 16
Saudi Arabia,2006,0.625,2.375,-1.625,Group stage
Tunisia,2006,1.0,2.0,-1.0,Group stage
Togo,2006,0.375,2.0,-1.625,Group stage
Korea Republic,2006,1.0,1.375,-0.375,Group stage
United States,2006,0.625,2.0,-1.375,Group stage
Czech Republic,2006,1.0,1.375,-0.375,Group stage
Japan,2006,0.625,2.375,-1.625,Group stage
Croatia,2006,0.625,1.0,-0.375,Group stage
IR Iran,2006,0.625,2.0,-1.375,Group stage
Angola,2006,0.375,0.625,-0.375,Group stage
Côte dIvoire,2006,1.625,2.0,-0.375,Group stage
Serbia and Montenegro,2006,0.625,3.375,-2.625,Group stage
Costa Rica,2006,1.0,3.0,-2.0,Group stage
Poland,2006,0.625,1.375,-0.625,Group stage
Paraguay,2006,0.625,0.625,0.0,Group stage
Trinidad and Tobago,2006,0.0,1.375,-1.375,Group stage
Germany,2002,2.0,0.375,1.625,Final
Brazil,2002,2.625,0.625,2.0,Final
Korea Republic,2002,1.0,0.75,0.25,Third-place match
Türkiye,2002,1.375,0.875,0.5,Third-place match
Spain,2002,1.75,0.875,0.875,Quarter-finals
Senegal,2002,1.25,1.0,0.125,Quarter-finals
England,2002,1.25,0.625,0.625,Quarter-finals
United States,2002,1.375,1.375,0.0,Quarter-finals
Japan,2002,1.25,0.75,0.5,Round of 16
Italy,2002,1.125,1.125,0.0,Round of 16
Mexico,2002,1.0,1.0,0.0,Round of 16
Belgium,2002,1.5,1.75,-0.25,Round of 16
Sweden,2002,1.125,1.125,0.0,Round of 16
Republic of Ireland,2002,1.375,0.75,0.75,Round of 16
Paraguay,2002,1.5,1.75,-0.25,Round of 16
Denmark,2002,1.25,1.25,0.0,Round of 16
Tunisia,2002,0.375,1.625,-1.375,Group stage
Russia,2002,1.375,1.375,0.0,Group stage
Portugal,2002,2.0,1.375,0.625,Group stage
Poland,2002,1.0,2.375,-1.375,Group stage
Costa Rica,2002,1.625,2.0,-0.375,Group stage
China PR,2002,0.0,3.0,-3.0,Group stage
Ecuador,2002,0.625,1.375,-0.625,Group stage
Croatia,2002,0.625,1.0,-0.375,Group stage
Argentina,2002,0.625,0.625,0.0,Group stage
Nigeria,2002,0.375,1.0,-0.625,Group stage
South Africa,2002,1.625,1.625,0.0,Group stage
Slovenia,2002,0.625,2.375,-1.625,Group stage
France,2002,0.0,1.0,-1.0,Group stage
Uruguay,2002,1.375,1.625,-0.375,Group stage
Saudi Arabia,2002,0.0,4.0,-4.0,Group stage
Cameroon,2002,0.625,1.0,-0.375,Group stage
Brazil,1998,1.875,1.375,0.5,Final
France,1998,2.0,0.25,1.75,Final
Netherlands,1998,1.75,1.0,0.875,Third-place match
Croatia,1998,1.625,0.75,0.875,Third-place match
Argentina,1998,1.875,0.75,1.125,Quarter-finals
Germany,1998,1.625,1.25,0.375,Quarter-finals
Italy,1998,1.5,0.5,1.0,Quarter-finals
Denmark,1998,1.75,1.375,0.375,Quarter-finals
Romania,1998,1.0,0.75,0.25,Round of 16
England,1998,1.625,0.875,0.75,Round of 16
Mexico,1998,2.0,1.75,0.25,Round of 16
FR Yugoslavia,1998,1.25,1.0,0.25,Round of 16
Paraguay,1998,0.75,0.5,0.25,Round of 16
Nigeria,1998,1.5,2.25,-0.75,Round of 16
Norway,1998,1.25,1.25,0.0,Round of 16
Chile,1998,1.25,2.0,-0.75,Round of 16
Japan,1998,0.375,1.375,-1.0,Group stage
Jamaica,1998,1.0,3.0,-2.0,Group stage
Tunisia,1998,0.375,1.375,-1.0,Group stage
Colombia,1998,0.375,1.0,-0.625,Group stage
Belgium,1998,1.0,1.0,0.0,Group stage
Korea Republic,1998,0.625,3.0,-2.375,Group stage
United States,1998,0.375,1.625,-1.375,Group stage
IR Iran,1998,0.625,1.375,-0.625,Group stage
South Africa,1998,1.0,2.0,-1.0,Group stage
Saudi Arabia,1998,0.625,2.375,-1.625,Group stage
Spain,1998,2.625,1.375,1.375,Group stage
Bulgaria,1998,0.375,2.375,-2.0,Group stage
Austria,1998,1.0,1.375,-0.375,Group stage
Cameroon,1998,0.625,1.625,-1.0,Group stage
